timestamp,device_id,voltage_v,current_a,power_w,kwh_total,switch_1
2025-10-06T23:39:31+08:00,a3c772d3fde52dbae832bi,2281,180,413,21,True
2025-10-11T20:14:53+08:00,a3c772d3fde52dbae832bi,2298,0,0,13,False
2025-10-11T20:17:56+08:00,a3c772d3fde52dbae832bi,2298,0,0,13,True
2025-10-11T20:18:18+08:00,a3c772d3fde52dbae832bi,2286,183,418,13,True
2025-10-11T22:35:41+08:00,a3c772d3fde52dbae832bi,2329,0,0,1,,True
2025-10-11T22:36:11+08:00,a3c772d3fde52dbae832bi,2316,185,427,1,,True
2025-10-11T22:37:12+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:38:12+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:39:12+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:40:13+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:41:13+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:42:13+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:43:14+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:44:14+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:45:14+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:46:15+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:47:15+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:48:16+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:49:16+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:50:16+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:51:17+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:52:17+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:53:18+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:54:18+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:55:18+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:56:19+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:57:19+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:58:19+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T22:59:20+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T23:00:20+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T23:01:21+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,0,False
2025-10-11T23:01:48+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,,False
2025-10-11T23:13:50+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,False
2025-10-11T23:23:50+08:00,a3c772d3fde52dbae832bi,2325,0,0,1,False
2025-10-11T23:33:51+08:00,a3c772d3fde52dbae832bi,2290,182,415,1,True
2025-10-11T23:43:51+08:00,a3c772d3fde52dbae832bi,2290,182,415,1,True
2025-10-11T23:53:52+08:00,a3c772d3fde52dbae832bi,2316,181,416,1,True
2025-10-12T00:03:52+08:00,a3c772d3fde52dbae832bi,2320,156,329,1,True
2025-10-12T00:13:53+08:00,a3c772d3fde52dbae832bi,2320,156,329,1,True
